day,mean_diff,median_diff
2014-06-08,0.002006887296360338,0.0019303138282935617
2014-06-09,0.0007467904388107627,0.0003520560494667535
2014-06-10,0.0010488015238432347,0.001088098035100682
2014-06-11,0.00063702864124493,0.0010103413690127905
2014-06-12,0.0008260078995008246,0.0008708155585992472
2014-06-13,0.0008271324938835534,0.0009642526717481559
2014-06-14,0.0004110512449408965,1.2127277425832972e-05
2014-06-15,0.0008356007020433598,0.0007940706791449426
2014-06-16,0.00021646488289905896,0.0002667938259799385
2014-06-17,0.0001777185520595026,-5.269060894530497e-05
2014-06-18,-0.0004994813523797603,-0.00022801325979471265
2014-06-19,-0.00048356762874446346,-0.0005383954369784227
2014-06-20,1.959598776801741e-06,-0.00033958635278596994
2014-06-21,-0.000809931060431035,-0.0012189787032981236
2014-06-22,7.726771879057459e-05,-0.0006976537121856641
2014-06-23,-0.0005046899290603868,-0.00128244632166008
2014-06-24,-4.4767385795063674e-05,-0.0002744940281547148
2014-06-25,0.00012157747212016012,6.432263199651622e-05
2014-06-26,-0.000647455115736717,-0.00039691732388247303
2014-06-27,-0.0005076315371392859,-0.0006594450491530512
2014-06-28,-0.0006502557233889483,-0.0011974344994480912
2014-06-29,-7.440970730687724e-05,-0.0009102482438738679
2014-06-30,-0.0008970542438087037,-0.0009424340055437241
2014-07-01,0.0003683401206857617,0.0009411588578511765
2014-07-02,-0.0007025799205393479,-0.0010228800966711749
2014-07-03,-0.0007572494710537114,-0.0007726538027881258
2014-07-04,-0.0010642016114377206,-0.001313440730361659
2014-07-05,-0.0002359678549068711,-0.0007623396063809462
2014-07-06,0.00029974593065307253,0.00018756056603685956
2014-07-07,-0.0002697798634698767,4.856022550936423e-05
2014-07-08,-0.0005712351020599193,-0.0005546152870476995
2014-07-09,-4.997746750756704e-05,-0.0003274107864386089
2014-07-10,-0.0004357458064243591,-0.0006915855854905395
2014-07-11,-0.0007991829869737899,-0.0008150500839954056
2014-07-12,-0.000997956294581659,-0.0020425502471339563
