day,mean_diff,median_diff
2014-06-08,-0.0023678780640983277,-0.001977176285181015
2014-06-09,-0.0029957801268318818,-0.0026552888848441203
2014-06-10,-0.005283928467889831,-0.005271552337915653
2014-06-11,-0.004644413379337964,-0.005051984680109589
2014-06-12,-0.004202368524097944,-0.0044859345342533885
2014-06-13,-0.0040168086291392235,-0.0037128734893503434
2014-06-14,-0.004045696951924915,-0.00444880212176324
2014-06-15,-0.0023356803842502494,-0.0019880772965661375
2014-06-16,-0.003947613795577176,-0.004842201915331357
2014-06-17,-0.004558109806801713,-0.004560595190682415
2014-06-18,-0.004102279074231552,-0.004112978760599573
2014-06-19,-0.0026920499897378214,-0.0018952211676923625
2014-06-20,-0.003508502649587575,-0.0036400750068241727
2014-06-21,-0.0038857104771767847,-0.003978733898304387
2014-06-22,-0.0013411272587218193,-0.0009628586406216222
2014-06-23,-0.0037311209894761443,-0.00328149304255021
2014-06-24,-0.004276020198935804,-0.0038825199825833767
2014-06-25,-0.004007046065549469,-0.003659741813738293
2014-06-26,-0.004492898643517984,-0.004557399982408894
2014-06-27,-0.004314484771682503,-0.004308442983769423
2014-06-28,-0.003647980179577903,-0.002989917656010199
2014-06-29,-0.00218087040174475,-0.0020720685892359203
2014-06-30,-0.003992770787579536,-0.0038222829178100604
2014-07-01,-0.004775849628033013,-0.005153884221494209
2014-07-02,-0.005763983553426888,-0.005984659419277394
2014-07-03,-0.004520774311641551,-0.004514836566470448
2014-07-04,-0.004749581961270843,-0.004739891466992274
2014-07-05,-0.004483439761525432,-0.00476349018343325
2014-07-06,-0.003602552030835149,-0.003768561235452328
2014-07-07,-0.005187780523906005,-0.005210191793179497
2014-07-08,-0.0045511120765555635,-0.004174917100836506
2014-07-09,-0.004774335905635363,-0.005405429134839546
2014-07-10,-0.0041322801009560095,-0.003448688334565686
2014-07-11,-0.004900356800331851,-0.004554081682873079
2014-07-12,-0.005208268823703399,-0.004700336505196301
2014-07-13,-0.002636101332534002,-0.0014495525876687676
2014-07-14,-0.004921693233663316,-0.004218353497012828
2014-07-15,-0.005214819775696045,-0.004877678736999069
2014-07-16,-0.006143989214931755,-0.0060884937218810276
2014-07-17,-0.005014419642970447,-0.0051012831526984215
2014-07-18,-0.0063761027728557185,-0.006226017174463472
2014-07-19,-0.005744449518064965,-0.005868807106287788
2014-07-20,-0.004604198618343158,-0.004525819753679494
2014-07-21,-0.006029381297705028,-0.006188592975485907
2014-07-22,-0.0064718309952833675,-0.006295704725642226
2014-07-23,-0.006206202452716747,-0.006346201627077441
2014-07-24,-0.0063798548360247676,-0.0065297717522374565
2014-07-25,-0.00633164513606177,-0.006685865630864374
2014-07-26,-0.0055715871466428535,-0.0054689968505026165
2014-07-27,-0.0032262700257796872,-0.0027783842161284156
2014-07-28,-0.0060047027489451565,-0.005601461514793682
2014-07-29,-0.006347462675093674,-0.00644049449909323
2014-07-30,-0.005809389925889974,-0.00551757065683689
2014-07-31,-0.005892360054265522,-0.006049253405901567
2014-08-01,-0.0057683781549886515,-0.006431065700135852
2014-08-02,-0.00641208773865487,-0.006829129918953125
2014-08-03,-0.004203480472228183,-0.003929523174381
2014-08-04,-0.006963340863906042,-0.007886897674786786
2014-08-05,-0.0075835447615406615,-0.007641308666209268
2014-08-06,-0.007212160206459872,-0.007044560835814506
2014-08-07,-0.00785471403960103,-0.007778718776891624
2014-08-08,-0.006417896687977764,-0.006356862896816695
2014-08-09,-0.006587671503575754,-0.006831016288706193
2014-08-10,-0.002977482373739182,-0.002733282910937662
2014-08-11,-0.005494225669012476,-0.004581338982464489
2014-08-12,-0.006460258809452002,-0.0061321689979843
2014-08-13,-0.006165042566927292,-0.005748851698786472
2014-08-14,-0.006552977079697042,-0.005803897923789991
2014-08-15,-0.006342397908490005,-0.0066527330581971356
2014-08-16,-0.006203261338203925,-0.006054796037553434
2014-08-17,-0.004181466065350747,-0.0036427440924227117
2014-08-18,-0.0071243806005956145,-0.0069995543723966325
2014-08-19,-0.006900022454492172,-0.00682097783175184
2014-08-20,-0.007210932190722774,-0.0073784701926875584
2014-08-21,-0.0054060854573121375,-0.005333009113945408
2014-08-22,-0.004638121991497268,-0.004232589332097136
2014-08-23,-0.005145242834689645,-0.005386735313115176
2014-08-24,-0.0031518691072263127,-0.002522036044770859
2014-08-25,-0.005145120633872846,-0.005018272495938003
2014-08-26,-0.004976715280001542,-0.004672135437263858
2014-08-27,-0.004411531430067672,-0.003784503906108627
2014-08-28,-0.003785961423582229,-0.0032129996906495872
2014-08-29,-0.004404289626717128,-0.0035149705023940214
2014-08-30,-0.004052393764718776,-0.0038152294582471935
2014-08-31,-0.002488219109450185,-0.0020751615462841766
2014-09-01,-0.004027428473294625,-0.003018691011262842
2014-09-02,-0.004462585971901856,-0.003444305686895799
2014-09-03,-0.0045458909348496945,-0.004013454897255464
2014-09-04,-0.004192267074015765,-0.003970712284618871
2014-09-05,-0.002558135479798107,-0.0028241667171327034
2014-09-06,-0.0022366177017825173,-0.0014782552478285194
2014-09-07,-0.0024439129692745976,-0.0016301035210077863
2014-09-08,-0.0036559579533017583,-0.003247357372201609
2014-09-09,-0.003800919701142602,-0.003668801180487291
2014-09-10,-0.00426256227100108,-0.004099551640150523
2014-09-11,-0.0033727353559982465,-0.0034857461829280734
2014-09-12,-0.004173585753074693,-0.004434114516292942
2014-09-13,-0.004207065493638806,-0.004179924922823153
2014-09-14,-0.0029049253452431145,-0.0021688553330807547
2014-09-15,-0.0038944241083784803,-0.00418257461852356
2014-09-16,-0.004111527112111046,-0.004323927004410644
2014-09-17,-0.0038319611181993896,-0.004081791134950219
2014-09-18,-0.004068316303819541,-0.003925790289815767
2014-09-19,-0.005559428167776659,-0.006323436599178667
2014-09-20,-0.003913031574068526,-0.0035984578350716223
2014-09-21,-0.0032599032435167707,-0.0034592172720981917
2014-09-22,-0.004322149280640453,-0.004296094747449963
2014-09-23,-0.004817123721689409,-0.00481596571394971
2014-09-24,-0.004663263778162952,-0.004465346343033749
2014-09-25,-0.004969322126120668,-0.0049769447903560415
2014-09-26,-0.004545061313187215,-0.004658872634935252
2014-09-27,-0.004762257647463075,-0.004980569237765797
2014-09-28,-0.002585760524035363,-0.00305046953912691
2014-09-29,-0.004359449717425745,-0.004513405262174919
2014-09-30,-0.004726566654245312,-0.005051970012923457
2014-10-01,-0.0042488137390606084,-0.004623023998275411
2014-10-02,-0.004092993439265502,-0.004666181882087228
2014-10-03,-0.0022445610231351942,-0.0024350736017337837
2014-10-04,-0.0038802620884965666,-0.0042145713948387176
2014-10-05,-0.001724401501267403,-0.001857611770276435
2014-10-06,-0.004534893991169575,-0.004939644246676256
2014-10-07,-0.004964459250134556,-0.005807316408253493
2014-10-08,-0.004060444485921355,-0.00530044644600336
2014-10-09,-0.004359366937731535,-0.004717044245520441
2014-10-10,-0.004666429971255548,-0.004567873597989047
2014-10-11,-0.0050793047153316895,-0.005576943299508752
2014-10-12,-0.003326787221209937,-0.0036028688224454264
2014-10-13,-0.005088024452926554,-0.005388660172072068
2014-10-14,-0.0041785686149524714,-0.004194903632285474
2014-10-15,-0.006277090484485992,-0.006449146324449151
2014-10-16,-0.007036072728342946,-0.007044177164265308
2014-10-17,-0.008116515544216218,-0.009165361778406655
2014-10-18,-0.008451483003416804,-0.00863492946018396
2014-10-19,-0.006301368002278762,-0.006437970138199356
2014-10-20,-0.007537360540653015,-0.00845146321364676
2014-10-21,-0.006741567277529281,-0.0074453153616815815
2014-10-22,-0.007284227109988439,-0.007189299195192955
2014-10-23,-0.006509343070253859,-0.006842452489957074
2014-10-24,-0.006790164786264263,-0.0069237391345216
2014-10-25,-0.007343102688067704,-0.0077081006895241
2014-10-26,-0.004965935198473215,-0.004788992840469186
2014-10-27,-0.00644888684522793,-0.006922544483945359
2014-10-28,-0.006402029612677218,-0.006406728294751307
2014-10-29,-0.0063391655408906455,-0.0060678102909794696
2014-10-30,-0.006138729440332336,-0.006137923490232122
2014-10-31,-0.004881724182955738,-0.00464581326590463
2014-11-01,-0.003940725435206627,-0.0032304952668731346
2014-11-02,-0.004078600671603372,-0.004616889742915298
2014-11-03,-0.005699193740581032,-0.006122439263249513
2014-11-04,-0.004550194014185882,-0.004865423925911161
2014-11-05,-0.004898196549818046,-0.004808123102713946
2014-11-06,-0.004611333741339596,-0.0042610844288690775
2014-11-07,-0.005348358606277914,-0.005461871513508854
2014-11-08,-0.0051369250845696435,-0.005386754872672261
2014-11-09,-0.003418903164078335,-0.0038156012518721916
2014-11-10,-0.004705195911195004,-0.004913574370439822
2014-11-11,-0.004489170125683062,-0.004591533095440692
2014-11-12,-0.005000861410175972,-0.004964363371075642
2014-11-13,-0.005469428022301548,-0.006007580580009941
2014-11-14,-0.0052232706218922065,-0.005659774655676131
2014-11-15,-0.0034980319077533295,-0.003647282261725726
2014-11-16,-0.003263791586265219,-0.0035974584989415526
2014-11-17,-0.005663890565477558,-0.006348507078705046
2014-11-18,-0.0048237232919836615,-0.005218663787374789
2014-11-19,-0.005542713058568127,-0.006309105318025976
2014-11-20,-0.0045841617037016835,-0.005553011809921182
2014-11-21,-0.004456451570089781,-0.004488797226389396
2014-11-22,-0.004016527857822805,-0.00418399677441883
2014-11-23,-0.0032116727926334576,-0.0038133919961191864
2014-11-24,-0.004204934783165637,-0.004707645785608339
2014-11-25,-0.003446397566855053,-0.003416390460837304
2014-11-26,-0.004494334335978456,-0.004387479827858476
2014-11-27,-0.0045957325124479365,-0.005162047467037079
2014-11-28,-0.00435197514461394,-0.004081817322906245
2014-11-29,-0.004967233082147526,-0.005398224387510364
2014-11-30,-0.0033341988419497426,-0.002915304586148748
2014-12-01,-0.004680668776490204,-0.005426137131234965
2014-12-02,-0.0051905752477188205,-0.005674829654447766
2014-12-03,-0.006743491306369087,-0.00689709527077631
2014-12-04,-0.006336742548471497,-0.0067178087451600366
2014-12-05,-0.0054909847434607695,-0.006225685704283057
2014-12-06,-0.0051697862032200614,-0.005732490537582846
2014-12-07,-0.003864383079480671,-0.004188481900506469
2014-12-08,-0.0049592402853610995,-0.005286591679063202
2014-12-09,-0.005139983117074642,-0.005362444164430213
2014-12-10,-0.005067368972210051,-0.00474576162585838
2014-12-11,-0.0051654584111349156,-0.005561788867229911
2014-12-12,-0.005386911660160587,-0.0060947423623043395
2014-12-13,-0.004750188914222964,-0.005115698124593893
2014-12-14,-0.0041656046640841105,-0.004159503539901133
2014-12-15,-0.005936292999517256,-0.00618388255963831
