uuid,latitude,longitude,neighbour_country,dist_km,border_region,brand
00060214-aa82-4444-8888-acdc00000001,47.86527633667,7.6452040672302,France,5.902442267525541,Border (0-8km),Freie Tankstelle ASL
00060220-0001-4444-8888-acdc00000001,49.202266693115,12.660385131836,Czechia,18.36392533382473,Surrounding (8-25km),
00060243-5b08-4444-8888-acdc00000001,47.573169708252,8.4456195831299,Switzerland,0.3727315333892114,Border (0-8km),Freie Tankstelle
00060247-0001-4444-8888-acdcffffffff,47.665634155273,11.200600624084,Austria,24.29939377901475,Surrounding (8-25km),
00060251-0012-4444-8888-acdcffffffff,47.747703552246,10.239517211914,Austria,23.408742553611408,Surrounding (8-25km),AVIA
00060280-0004-4444-8888-acdcffffffff,50.428424835205,12.173590660095,Czechia,11.741662199624045,Surrounding (8-25km),Sigmund Hoffmann
00060282-9715-4444-8888-acdc00000001,47.937240600586,7.7250289916992,France,8.52654594413477,Surrounding (8-25km),Tankhof Norsingen
00060283-0001-4444-8888-acdc00000001,47.619480133057,7.6536588668823,Switzerland,2.574713431193016,Border (0-8km),
00060290-3770-4444-8888-acdc00000001,48.705837249756,13.482489585877,Austria,12.944404112088506,Surrounding (8-25km),
00060300-0001-4444-8888-acdc00000001,47.699855804443,7.8464798927307,Switzerland,12.467233110326998,Surrounding (8-25km),Freie Tankstelle
00060333-0001-4444-8888-acdc00000001,47.687763214111,11.573185920715,Austria,11.390989354540546,Surrounding (8-25km),Tankstelle I.Zens
00060334-0001-4444-8888-acdc00000001,48.070739746094,12.488694190979,Austria,19.761891474850916,Surrounding (8-25km),
00060379-0001-4444-8888-acdc00000001,48.62947845459,8.0595588684082,France,11.968979086713015,Surrounding (8-25km),BAUM
00060458-0001-4444-8888-acdc00000001,48.816753387451,8.1573877334595,France,3.8595518767581076,Border (0-8km),Tankhof Iffezheim
00060476-9664-4444-8888-acdc00000001,47.603569030762,7.6557488441467,Switzerland,0.9081553864842103,Border (0-8km),Auto-Service-Bund
00060478-0001-4444-8888-acdc00000001,48.147380828857,7.7010288238525,France,6.657841030625975,Border (0-8km),
00060568-0001-4444-8888-acdc00000001,47.842189788818,12.348397254944,Austria,12.981767161571394,Surrounding (8-25km),Freie Tankstelle
00060584-0002-4444-8888-acdc00000002,49.694030761719,12.16252040863,Czechia,18.288809675489862,Surrounding (8-25km),Bergler
00060585-0003-4444-8888-acdc00000003,49.618915557861,12.349383354187,Czechia,11.593835618766159,Surrounding (8-25km),Bergler
00060594-0001-4444-8888-acdc00000001,48.437877655029,13.094947814941,Austria,17.07557904215524,Surrounding (8-25km),
00060654-0001-4444-8888-acdc00000001,48.257038116455,12.593193054199,Austria,19.01001492051745,Surrounding (8-25km),
