day,diesel_median_last,diesel_mean_last,e5_median_last,e5_mean_last,e10_median_last,e10_mean_last,n_stations_seen
2018-12-31,1.269,1.263597510373444,1.389,1.3888851063829786,1.369,1.3686116071428571,241
2019-01-01,1.229,1.2346541179971728,1.359,1.3659013033978753,1.339,1.3441692581418736,13442
2019-01-02,1.209,1.220105562179982,1.349,1.3516482812611201,1.319,1.3296840085602537,14272
2019-01-03,1.209,1.2165632521690455,1.339,1.349233619649322,1.319,1.3270514803358373,14294
2019-01-04,1.209,1.217456440856441,1.339,1.3508062517801196,1.319,1.3290636914437712,14246
2019-01-05,1.209,1.2210854700854703,1.349,1.3542520515826493,1.329,1.332623344847438,14744
2019-01-06,1.209,1.2213169717744876,1.349,1.355927832767026,1.329,1.3342184694964248,13713
2019-01-07,1.219,1.2230342360039288,1.349,1.354641449007188,1.329,1.3328913412563668,14255
2019-01-08,1.219,1.2226993115076579,1.339,1.350682766973,1.319,1.328871306146572,14235
2019-01-09,1.219,1.2228473428630053,1.339,1.347230165346672,1.319,1.325202402489326,14623
2019-01-10,1.219,1.225657829796235,1.339,1.3461819937070938,1.319,1.3243301222675063,14186
2019-01-11,1.219,1.2276748466257668,1.339,1.347948948948949,1.319,1.3260764553207267,14183
2019-01-12,1.219,1.229585292646323,1.339,1.3495532068915592,1.319,1.3277793820602977,13995
2019-01-13,1.229,1.2337831861636137,1.349,1.352832199881727,1.319,1.3309287727584367,13705
2019-01-14,1.228,1.2307751718560453,1.339,1.3489068986778103,1.319,1.326918845354917,14840
2019-01-15,1.219,1.2273481533591277,1.339,1.3417892146372778,1.309,1.3199446333530456,14217
2019-01-16,1.219,1.2265011583011585,1.329,1.336942265252367,1.309,1.3149173986860558,14248
2019-01-17,1.219,1.2261554993678887,1.329,1.333063323598547,1.299,1.3111132186877261,14241
2019-01-18,1.229,1.2329807044625316,1.329,1.338614000142278,1.309,1.316598951797446,14253
2019-01-19,1.229,1.2323602568676417,1.329,1.3360524071129103,1.309,1.3140662286268947,14016
2019-01-20,1.229,1.2356994110375918,1.329,1.3393003830288746,1.309,1.317221463266545,13754
2019-01-21,1.229,1.2337436203866432,1.329,1.3366665715915573,1.309,1.3146442982780284,14227
2019-01-22,1.219,1.2305435532708964,1.319,1.3313330239200285,1.299,1.3093514074074073,14204
2019-01-23,1.229,1.232515319357779,1.319,1.3313175968716673,1.299,1.3092676741614448,14264
2019-01-24,1.219,1.231612326461927,1.319,1.3273873169344519,1.299,1.3052723652186737,14263
2019-01-25,1.219,1.2300085500035043,1.319,1.3273032047182547,1.297,1.3051849885718498,14270
2019-01-26,1.219,1.2282503030735221,1.319,1.3251786075400838,1.289,1.3032356060040327,14026
2019-01-27,1.229,1.231528031576639,1.319,1.3282410324680127,1.299,1.3061501256759844,13685
2019-01-28,1.219,1.2292708435421773,1.319,1.3249741715745407,1.289,1.3029717293675918,14289
2019-01-29,1.219,1.2245265849387041,1.309,1.3178330728796703,1.289,1.2958189585328128,14278
2019-01-30,1.219,1.2231149635036496,1.309,1.3150740872535762,1.279,1.2930328389048777,14251
2019-01-31,1.219,1.225204472171597,1.309,1.3160036963321013,1.279,1.2938497566012686,14270
2019-02-01,1.219,1.2263665470410245,1.309,1.3188893249607536,1.289,1.2968321621421703,14214
2019-02-02,1.219,1.2279850863422292,1.309,1.3204446371783751,1.289,1.2984292544449425,14017
2019-02-03,1.219,1.2312946526009458,1.309,1.3243472846510942,1.289,1.3022361923573653,13747
2019-02-04,1.219,1.2281744668871843,1.309,1.3215911815068493,1.289,1.2994136629413071,14213
2019-02-05,1.219,1.2298904829258437,1.309,1.3229574030954665,1.289,1.3009570947639855,14849
2019-02-06,1.219,1.227165750915751,1.309,1.320120705663881,1.289,1.2980795555555555,14197
2019-02-07,1.219,1.2288290002113718,1.309,1.322629661380197,1.289,1.3004338071968014,14195
2019-02-08,1.229,1.2321170955234404,1.319,1.3253195109744762,1.289,1.3032549281161998,14186
2019-02-09,1.229,1.2348018604651163,1.319,1.3272142805364262,1.299,1.3052345225603357,13977
2019-02-10,1.229,1.2390110566010104,1.319,1.330474492065846,1.299,1.3084002749980903,13658
2019-02-11,1.229,1.2350065594583157,1.319,1.3265715920469174,1.299,1.304356015121192,14179
2019-02-12,1.229,1.2371797056545315,1.319,1.3279303006498606,1.299,1.3057364759860877,14202
2019-02-13,1.229,1.2379893579533443,1.319,1.3290246604717655,1.299,1.3069533970511966,14191
2019-02-14,1.229,1.2411461126005363,1.319,1.331942965507371,1.299,1.3098559133402583,14175
2019-02-15,1.229,1.241006407097092,1.319,1.3331379679908544,1.299,1.311432040272431,14204
