day,diesel_median_last,diesel_mean_last,e5_median_last,e5_mean_last,e10_median_last,e10_mean_last,n_stations_seen
2015-12-31,1.069,1.0797222222222222,1.318,1.3335714285714286,1.298,1.3135714285714284,108
2016-01-01,1.079,1.08971711238213,1.329,1.3463903820081347,1.309,1.3266525207402682,12940
2016-01-02,1.069,1.0830855200643228,1.329,1.3408202170448509,1.309,1.3212471534841355,13683
2016-01-03,1.079,1.0873406626280757,1.329,1.3445932544287151,1.309,1.3250422535211268,13373
2016-01-04,1.069,1.084244511192162,1.329,1.3430813849590468,1.309,1.323509235811113,13984
2016-01-05,1.069,1.085513378523011,1.339,1.3504075367920323,1.319,1.3308690608967209,14016
2016-01-06,1.079,1.0878827852153665,1.339,1.3538975853455455,1.319,1.3343391640163562,13745
2016-01-07,1.069,1.0799668081029292,1.329,1.3430824615828585,1.309,1.3235312883435582,14622
2016-01-08,1.069,1.0774324593901397,1.329,1.3379714858543106,1.309,1.3184480427839262,14037
2016-01-09,1.059,1.0725721108618569,1.319,1.3340943509615384,1.299,1.3145290051097085,13820
2016-01-10,1.069,1.076704648906798,1.329,1.339194345743859,1.309,1.3195787480680061,13402
2016-01-11,1.049,1.0634836879432623,1.319,1.3292358476585653,1.299,1.3096616262693648,14103
2016-01-12,1.039,1.0585524356519889,1.309,1.3228388814913448,1.289,1.3033474206202353,14105
2016-01-13,1.039,1.0543915010959486,1.299,1.3159197312066166,1.279,1.296384899527187,14145
2016-01-14,1.029,1.0472139229792636,1.289,1.308843913588439,1.269,1.2893049572145174,14180
2016-01-15,1.029,1.040593674826659,1.289,1.3017465277777778,1.269,1.2822763284310104,14136
2016-01-16,1.029,1.036344974078341,1.289,1.3007808598130841,1.269,1.281215290245362,13889
2016-01-17,1.019,1.0281437513972724,1.279,1.2920255876685933,1.259,1.272473704503393,13420
2016-01-18,1.019,1.031132742117117,1.289,1.2972742327224551,1.269,1.2778497790868926,14209
2016-01-19,1.009,1.0291763749469813,1.279,1.2957328610434653,1.259,1.2762491510408978,14148
2016-01-20,0.999,1.0226971950701234,1.279,1.294135079153721,1.259,1.2746441204765782,14119
2016-01-21,0.999,1.015425893172975,1.279,1.2944063285524174,1.259,1.274928698224852,14136
2016-01-22,0.999,1.0158311422109132,1.289,1.2990617521051855,1.269,1.2795404906162258,14149
2016-01-23,0.999,1.0154278182999927,1.289,1.2993906519618876,1.269,1.2798646052236566,13848
2016-01-24,0.999,1.0214498997251726,1.289,1.3048908965093033,1.269,1.2852955926467196,13465
2016-01-25,1.009,1.0271594562061885,1.289,1.3048837398373985,1.269,1.2853299075785583,14124
2016-01-26,1.009,1.0252914297896532,1.289,1.3033879457335609,1.269,1.283929842776624,14073
2016-01-27,1.009,1.021656490179334,1.279,1.29794899019899,1.259,1.2784492312263238,14055
2016-01-28,1.019,1.0318307025028441,1.289,1.303454794926945,1.269,1.284002151814202,14065
2016-01-29,1.029,1.0427372154053478,1.299,1.3121175033318524,1.279,1.2925325925925926,14100
2016-01-30,1.029,1.0430200448657645,1.299,1.3123559029082439,1.279,1.2928282964967674,13822
2016-01-31,1.029,1.047369125542399,1.299,1.3152754814645657,1.279,1.2956511043412033,13599
2016-02-01,1.029,1.0454159914712153,1.299,1.3143766233766232,1.279,1.2948959168522642,14071
2016-02-02,1.029,1.0420428184667996,1.299,1.3094837271511368,1.279,1.290003865308853,14038
2016-02-03,1.029,1.0406318822023046,1.289,1.3025499369763474,1.269,1.283094725910541,14059
2016-02-04,1.029,1.0443536680633478,1.279,1.2989617947578853,1.259,1.2794283069174937,14082
2016-02-05,1.029,1.0468610147901776,1.279,1.297333825810741,1.259,1.277859232986034,14133
2016-02-06,1.029,1.0443681552557535,1.279,1.2936858834995126,1.259,1.274193190340483,13862
2016-02-07,1.039,1.0510538993383391,1.289,1.2999515930429428,1.269,1.2803271999384096,13452
2016-02-08,1.029,1.0467639640923339,1.279,1.2918136184747901,1.259,1.272356458441655,14040
2016-02-09,1.029,1.0467317281664055,1.269,1.2897224489795918,1.249,1.2702983667409058,14039
2016-02-10,1.019,1.0385815632965165,1.259,1.2771908876089204,1.239,1.2576987515697717,14126
2016-02-11,1.019,1.0344176158471878,1.259,1.2722120496160663,1.239,1.2528015363025335,14137
2016-02-12,1.019,1.0324702503368555,1.259,1.2661681710565256,1.239,1.246742931162102,14103
2016-02-13,1.019,1.03420327136475,1.259,1.2687040419161675,1.239,1.2493010857356797,13880
2016-02-14,1.019,1.0386133076181292,1.259,1.2732107203194594,1.239,1.2536409035033806,13483
2016-02-15,1.039,1.0438252571833984,1.259,1.2765316362021757,1.239,1.2570123630441221,14098
2016-02-16,1.039,1.0465765031196823,1.269,1.2804340264930067,1.249,1.2610226549196715,14107
2016-02-17,1.039,1.0466560899260102,1.259,1.278607548009194,1.239,1.259001261034048,14058
2016-02-18,1.039,1.0536325865002836,1.269,1.2801023458891438,1.249,1.2607245668591738,14106
2016-02-19,1.039,1.0538785683851726,1.259,1.2745506343200534,1.239,1.2550842488123515,14084
2016-02-20,1.039,1.0537247182895118,1.259,1.2720147136100894,1.239,1.2526105144573791,13847
2016-02-21,1.044,1.0587732250614617,1.269,1.2764162808641975,1.249,1.2568536359425662,13428
2016-02-22,1.039,1.0517542247048008,1.249,1.2638163702118237,1.229,1.2443974008712988,14145
2016-02-23,1.039,1.0543113467656415,1.259,1.2686005751364104,1.239,1.2491334562891923,14146
2016-02-24,1.029,1.0499563610518834,1.249,1.2643183098591548,1.229,1.2448829156161947,14071
2016-02-25,1.039,1.050788591319173,1.259,1.2656106666666667,1.239,1.2460901007705987,14079
2016-02-26,1.049,1.0562741580999646,1.259,1.2729683820807107,1.239,1.2534630768091253,14106
2016-02-27,1.049,1.0578188452922899,1.259,1.2747465254300956,1.244,1.255258660855189,13840
2016-02-28,1.059,1.063243162901308,1.269,1.2792269825398046,1.249,1.259635272391505,13457
2016-02-29,1.059,1.0634809203142537,1.279,1.2809161044294515,1.259,1.2613185386251926,14257
2016-03-01,1.059,1.0644054168729227,1.269,1.2812544487927342,1.249,1.2617459004284237,14144
2016-03-02,1.059,1.0664800085070183,1.269,1.279033392566267,1.249,1.259525372249796,14107
2016-03-03,1.059,1.071649053124335,1.269,1.27709239653513,1.249,1.2575530622824558,14100
2016-03-04,1.059,1.072910940934553,1.269,1.2806796770848763,1.249,1.2610663110320812,14104
2016-03-05,1.059,1.0725419075144509,1.269,1.2798552552552551,1.249,1.2603148092520275,13843
2016-03-06,1.069,1.0781316476467517,1.279,1.2845401127326077,1.259,1.2649422259983008,13408
2016-03-07,1.069,1.076409579736805,1.279,1.284103015075377,1.259,1.264567647493716,14135
2016-03-08,1.079,1.0864611205193337,1.289,1.2933253652058432,1.269,1.2738461027457926,14173
2016-03-09,1.089,1.091704789488556,1.289,1.2983849567339694,1.269,1.2789679615242324,14157
2016-03-10,1.089,1.0967536057692309,1.309,1.3052678123617052,1.289,1.2857623755071927,14145
2016-03-11,1.089,1.1000220557047928,1.309,1.3049280543654895,1.284,1.2821915773919468,14147
2016-03-12,1.099,1.0998040910400462,1.299,1.3018540091337876,1.279,1.2790874026363093,13885
2016-03-13,1.099,1.1053864666121964,1.309,1.306490774907749,1.289,1.2834734292086443,13464
2016-03-14,1.089,1.0997452897010909,1.299,1.300891254527981,1.279,1.2781021223101383,14120
2016-03-15,1.079,1.0963755055701412,1.299,1.295803287184423,1.269,1.2727008072280233,14095
2016-03-16,1.079,1.0901925889117625,1.289,1.2905225151829358,1.259,1.2677479813319505,14088
2016-03-17,1.099,1.095146578648495,1.299,1.2945655974516632,1.269,1.271691218969989,14089
2016-03-18,1.099,1.101325340522134,1.299,1.297513970206774,1.269,1.2744696857396975,14097
2016-03-19,1.099,1.1016966421674592,1.299,1.2976358390167129,1.269,1.274610690456556,13879
2016-03-20,1.099,1.1062510951072833,1.299,1.3014480823918222,1.274,1.2783212885369417,13470
2016-03-21,1.099,1.1034451055390282,1.299,1.300422575869726,1.269,1.2774868206722938,14119
2016-03-22,1.099,1.1042071408330971,1.299,1.3079048146507164,1.279,1.2849304232218035,14117
2016-03-23,1.099,1.1048995466137717,1.309,1.312820776340111,1.289,1.2899845437065522,14118
2016-03-24,1.099,1.103871807569862,1.309,1.3194486450564868,1.289,1.2966525336091002,14136
2016-03-25,1.099,1.108299213182898,1.319,1.324821046967484,1.289,1.3018571977852966,13475
2016-03-26,1.099,1.1047504512961226,1.309,1.3238351961593278,1.289,1.3010890673069708,13850
2016-03-27,1.099,1.1103072140235224,1.319,1.330252113222179,1.299,1.3072470907680374,13350
2016-03-28,1.099,1.1076049880525687,1.319,1.3297239273289525,1.289,1.3067818688118813,13393
2016-03-29,1.079,1.097879674220963,1.309,1.32811811198109,1.289,1.3054558486662233,14121
2016-03-30,1.079,1.0926831634097989,1.329,1.336261716731862,1.309,1.3139694284448384,14126
2016-03-31,1.079,1.0923022579304613,1.329,1.3391498482000868,1.309,1.3167107527659268,14439
2016-04-01,1.079,1.0924012581283573,1.329,1.3413072897471807,1.309,1.3185771584457717,14149
2016-04-02,1.079,1.0899532467532467,1.329,1.3402503371796792,1.309,1.3173973465257478,13861
2016-04-03,1.079,1.0917009189031506,1.329,1.3408597862145226,1.309,1.3209297800338409,13715
2016-04-04,1.069,1.0809438678246135,1.329,1.3326887459807073,1.309,1.3148190208964041,14164
2016-04-05,1.069,1.075063068783069,1.319,1.329903707407672,1.299,1.3122105146570184,14177
2016-04-06,1.059,1.069548891878496,1.319,1.3295414725069898,1.299,1.31191670368725,14125
2016-04-07,1.059,1.0677903237181747,1.319,1.3275308439240325,1.299,1.309849970510174,14181
2016-04-08,1.069,1.0726278558251738,1.319,1.3340338240574505,1.309,1.3165190783136993,14095
2016-04-09,1.069,1.0761903798931098,1.319,1.3370931658878507,1.309,1.3193670048853814,13847
2016-04-10,1.079,1.0815783571004158,1.329,1.3420624014417661,1.319,1.3236069284064664,13466
2016-04-11,1.089,1.090055225148683,1.349,1.3483778844775691,1.329,1.330896301775148,14127
2016-04-12,1.089,1.0916990167645186,1.349,1.3501030876137259,1.329,1.3299166235111342,14140
2016-04-13,1.089,1.0977562812302062,1.349,1.3535176688515245,1.329,1.3333688590999486,14210
2016-04-14,1.089,1.1045940035273367,1.344,1.3581255803986,1.319,1.3377570596475705,14178
2016-04-15,1.089,1.1047428854594366,1.339,1.3581645769148096,1.319,1.337944123741859,14127
2016-04-16,1.094,1.1045174007220218,1.339,1.358288382953882,1.319,1.3374984229498348,13851
2016-04-17,1.099,1.109274743265367,1.354,1.3631062965470548,1.329,1.3418115025826844,13439
2016-04-18,1.089,1.099631355332106,1.339,1.3513847311827956,1.319,1.330747207220537,14123
2016-04-19,1.089,1.1000066704513198,1.329,1.3469117097701149,1.309,1.3261797436467364,14096
2016-04-20,1.059,1.0747366661925757,1.309,1.3183092872570195,1.289,1.2996207203861865,14066
2016-04-21,1.099,1.1123212185618137,1.339,1.3557078401836309,1.319,1.3380850103580941,14116
2016-04-22,1.099,1.1157174760723148,1.349,1.3624289405684755,1.329,1.34465940579388,14107
2016-04-23,1.099,1.1173255998843596,1.349,1.364713116550968,1.329,1.3466112072207597,13837
2016-04-24,1.099,1.1157454657029864,1.349,1.3630300975576004,1.329,1.3459622003023974,14681
2016-04-25,1.099,1.1197274915062287,1.369,1.3699660288110083,1.349,1.3521404885270172,14129
2016-04-26,1.099,1.119546648774631,1.369,1.3701180088685454,1.349,1.3523441630362547,14162
2016-04-27,1.119,1.1249718579428651,1.369,1.3749595952346778,1.349,1.3572866562939911,14110
2016-04-28,1.109,1.1278383556040361,1.369,1.3726241267206196,1.349,1.3557480564353586,14684
2016-04-29,1.119,1.135602975393076,1.369,1.377033142857143,1.349,1.3595109192858197,14184
2016-04-30,1.119,1.136618382041508,1.369,1.3780586891332287,1.349,1.3602743323769586,14167
2016-05-01,1.119,1.1352197000681663,1.369,1.3763621524415548,1.349,1.359494853523357,14686
2016-05-02,1.119,1.1356727195346858,1.369,1.3795015439856375,1.349,1.3618118466898954,14100
2016-05-03,1.119,1.132635749822317,1.369,1.3772890343934379,1.349,1.35960098010098,14071
2016-05-04,1.109,1.1290303374777975,1.359,1.3728386075949368,1.339,1.3549423633261626,14076
2016-05-05,1.119,1.1339322664681801,1.369,1.377353428162866,1.359,1.3588522175086772,13436
2016-05-06,1.109,1.1283765502494654,1.359,1.370428427128427,1.339,1.352544359336655,14034
2016-05-07,1.119,1.1298599869687975,1.359,1.3713743871203805,1.339,1.3532037914691943,13814
2016-05-08,1.119,1.1340045363278055,1.369,1.3750184962406014,1.349,1.3564076070218665,13449
2016-05-09,1.109,1.1237318670367997,1.349,1.363343659942363,1.329,1.3454047902409996,14050
2016-05-10,1.109,1.1190066154502776,1.339,1.3566192842226543,1.319,1.3386054684597668,14060
2016-05-11,1.119,1.1234806074433197,1.339,1.3585840912371878,1.319,1.3404876143717919,14027
2016-05-12,1.119,1.1318816959521947,1.349,1.3668317002881845,1.329,1.3490505501040737,14058
2016-05-13,1.129,1.1360309681085305,1.359,1.373283659378596,1.349,1.3554718100890206,14080
2016-05-14,1.129,1.1382784205958925,1.369,1.3766742468558057,1.349,1.3586237303438418,13830
2016-05-15,1.129,1.1436875560873467,1.369,1.3825836672967866,1.349,1.3641433997364545,13374
2016-05-16,1.129,1.143121942096207,1.369,1.3821065648162154,1.349,1.363630134862812,13369
2016-05-17,1.139,1.1420474641012945,1.369,1.3805483986530056,1.349,1.362676055296814,14138
2016-05-18,1.139,1.1485653735126382,1.379,1.3856273726273727,1.359,1.3678843346848506,14204
2016-05-19,1.149,1.1529896848947294,1.379,1.387958094965675,1.359,1.3701756966516372,14155
2016-05-20,1.149,1.1465483459658568,1.379,1.3809163080895008,1.359,1.3629110091063892,14118
2016-05-21,1.149,1.1485972735842216,1.379,1.3824567113847959,1.359,1.364191689917804,13792
2016-05-22,1.149,1.1535971368610403,1.379,1.3871398802758201,1.359,1.3684300799751532,13343
2016-05-23,1.149,1.150134296491353,1.379,1.384954535629368,1.359,1.3669708550185875,14052
2016-05-24,1.149,1.1508045649072753,1.379,1.3880618504618938,1.359,1.3700691402175533,14022
2016-05-25,1.149,1.155583161634103,1.389,1.3920228727612747,1.369,1.3739666765622682,14077
2016-05-26,1.159,1.1618275324675325,1.389,1.3965704521556255,1.369,1.3781408059286708,13480
2016-05-27,1.159,1.1609853589196872,1.389,1.395765002158584,1.369,1.3776802614961743,14072
2016-05-28,1.159,1.1618045935371686,1.389,1.396969683655536,1.369,1.3786251976805481,13804
2016-05-29,1.159,1.1663741308411215,1.389,1.4018526411244616,1.369,1.3831637617166317,13377
2016-05-30,1.159,1.1629236111111112,1.389,1.3988856445943036,1.369,1.3807610160705028,14115
2016-05-31,1.159,1.1630309127619578,1.389,1.3987942482554452,1.369,1.3806637567292304,14367
2016-06-01,1.159,1.165743370402053,1.389,1.4022181004618939,1.369,1.3841965589155372,14033
2016-06-02,1.159,1.1647457723461703,1.389,1.4009262802071345,1.369,1.3828726086311731,14078
2016-06-03,1.159,1.1650329631211733,1.389,1.4014988828828827,1.369,1.38341284471865,14048
2016-06-04,1.159,1.166477873542406,1.389,1.403314024166972,1.369,1.3849240039165474,13809
2016-06-05,1.159,1.1682356407578696,1.399,1.4058521535792412,1.379,1.3871051452410381,13409
2016-06-06,1.159,1.1640694424639955,1.389,1.4003606119650718,1.369,1.3822357408786299,14028
2016-06-07,1.159,1.1620935092724678,1.389,1.3971911881545684,1.369,1.3790590645017131,14024
2016-06-08,1.159,1.1664937068904218,1.389,1.3946698099625685,1.369,1.376409276437848,14064
2016-06-09,1.159,1.1718287923939266,1.389,1.3944579620580628,1.369,1.3762987032234162,14096
2016-06-10,1.159,1.172308759695439,1.389,1.3973732171156894,1.369,1.3793528406981062,14054
2016-06-11,1.159,1.1739262562540789,1.389,1.3984242557559758,1.369,1.380008815551537,13792
2016-06-12,1.169,1.1776372519767269,1.389,1.4026520132709999,1.379,1.3838736866501855,13407
2016-06-13,1.159,1.1697294318424234,1.389,1.3956892903411544,1.369,1.377488532620797,14065
2016-06-14,1.159,1.1694044295684376,1.389,1.394297995095918,1.369,1.3761616957976943,14044
2016-06-15,1.149,1.1649832358396348,1.379,1.3901417840375585,1.359,1.3718525908278736,14020
2016-06-16,1.149,1.1616231822070144,1.379,1.387347264327992,1.359,1.3690115967885816,14031
2016-06-17,1.149,1.1569835341079193,1.379,1.384755122655123,1.359,1.3663144237918217,14031
2016-06-18,1.149,1.1567182088254475,1.379,1.384459966302835,1.359,1.3660338204278397,13803
2016-06-19,1.159,1.1617546902918403,1.379,1.389593030257414,1.369,1.370855677260105,13434
2016-06-20,1.149,1.161368465909091,1.379,1.3888841923657538,1.359,1.3707825732295142,14082
2016-06-21,1.159,1.1641617072651091,1.379,1.393992809376573,1.359,1.3757973914332295,14083
2016-06-22,1.159,1.166011936904931,1.389,1.3974118958573074,1.369,1.3792715143428953,14076
2016-06-23,1.159,1.1677742626580019,1.389,1.398976082086856,1.369,1.3807617452162906,14005
2016-06-24,1.159,1.167237701411664,1.389,1.3985063117651302,1.369,1.3803052396878486,14028
2016-06-25,1.159,1.1672767941712203,1.389,1.3994054352629253,1.369,1.3809731426842187,13727
2016-06-26,1.159,1.172930147333782,1.399,1.4043000378071833,1.379,1.3855969166408428,13373
2016-06-27,1.159,1.1637258409350058,1.389,1.3954014566957524,1.369,1.3771362284354551,14035
2016-06-28,1.139,1.1432989285714286,1.369,1.3739609713790113,1.349,1.3551575929098088,14002
2016-06-29,1.149,1.1599634276751978,1.379,1.3893553134694465,1.359,1.3710931737061272,14029
2016-06-30,1.159,1.1636830799274653,1.379,1.3889443463521436,1.359,1.370591991263196,14341
2016-07-01,1.159,1.1664957995158765,1.379,1.3886011818968003,1.359,1.3705036800237902,14049
2016-07-02,1.159,1.1676479221156641,1.379,1.3895885462555067,1.359,1.3711176470588236,13766
2016-07-03,1.159,1.171547948277151,1.389,1.3932268640930725,1.369,1.3744359331476323,13381
2016-07-04,1.159,1.1638044298839114,1.379,1.386821897073663,1.359,1.3686265328874023,14042
2016-07-05,1.149,1.1598533049040511,1.369,1.3821368867788808,1.349,1.3637407489803486,14071
2016-07-06,1.139,1.1517652112176073,1.369,1.369438847369934,1.349,1.3509375370480143,14087
2016-07-07,1.139,1.1508817097415507,1.359,1.366113562854884,1.339,1.3477928809788655,14087
2016-07-08,1.139,1.1519877444035138,1.359,1.3649769076305223,1.339,1.3466772451546085,14118
2016-07-09,1.139,1.1533610990600145,1.359,1.3651705035445443,1.339,1.3467755485422301,13831
2016-07-10,1.149,1.158744353640416,1.369,1.369358188781257,1.349,1.3505788501500808,13461
2016-07-11,1.139,1.149224395775746,1.349,1.3595333333333335,1.329,1.341384638196916,14111
2016-07-12,1.139,1.1486445029156591,1.349,1.3565839752357642,1.329,1.33840338882283,14065
2016-07-13,1.139,1.150820839260313,1.349,1.3574045493809386,1.329,1.3392256292226594,14063
2016-07-14,1.129,1.143715087370365,1.349,1.354981516110472,1.329,1.3366336178107605,14080
2016-07-15,1.129,1.1411445115452932,1.339,1.35554654676259,1.329,1.3373172920065255,14078
2016-07-16,1.129,1.1425017729213403,1.349,1.3578016825164594,1.329,1.3394617410277632,13820
2016-07-17,1.139,1.1483419816595841,1.359,1.363401506591337,1.339,1.3447703120173,13415
2016-07-18,1.129,1.140820578594841,1.349,1.361085677196019,1.329,1.342861817640934,14036
2016-07-19,1.129,1.1351320902426874,1.349,1.3572780259365995,1.329,1.3391196371477434,14052
2016-07-20,1.129,1.1369177594070696,1.339,1.3553447130999638,1.329,1.3371259027622662,14033
2016-07-21,1.129,1.140208832762557,1.339,1.3539405819074435,1.319,1.3356594240642905,14017
2016-07-22,1.129,1.138064044305595,1.339,1.3525846751006325,1.319,1.3344518496552746,14085
2016-07-23,1.129,1.1403757800029024,1.339,1.3536919521678525,1.329,1.3353734158117079,13783
2016-07-24,1.139,1.144348499588416,1.349,1.3568735153945077,1.329,1.3381201952882826,13364
2016-07-25,1.129,1.13387487544484,1.339,1.3480268770716242,1.319,1.3298005950167346,14054
2016-07-26,1.119,1.130143565759637,1.329,1.3442280651409713,1.319,1.32613,14113
2016-07-27,1.119,1.127950049737104,1.329,1.3429218705035972,1.319,1.3247587820274787,14076
2016-07-28,1.119,1.1240896306818182,1.329,1.3396873336689923,1.309,1.3214812699354648,14082
2016-07-29,1.109,1.1180238584070796,1.329,1.337578913417431,1.309,1.3193986526502812,14126
2016-07-30,1.109,1.1199154584144846,1.329,1.3382180730800088,1.309,1.3198995570903083,13864
2016-07-31,1.119,1.1226985031033223,1.339,1.3410563349084466,1.319,1.3223750189365246,13696
2016-08-01,1.104,1.1135031905842314,1.329,1.334449813325675,1.309,1.316283946042099,14105
2016-08-02,1.099,1.109612749964544,1.319,1.3328754757630161,1.309,1.3147397138409076,14104
2016-08-03,1.099,1.1062990859491248,1.319,1.332428920160827,1.299,1.314311476624435,14114
2016-08-04,1.099,1.1082716040616347,1.319,1.3324489898626788,1.299,1.3143841870824053,14084
2016-08-05,1.108,1.1123611604920713,1.329,1.336466301843318,1.309,1.318438689060642,14064
2016-08-06,1.109,1.1157221135029354,1.329,1.338722527673924,1.309,1.3204591721330017,13801
2016-08-07,1.109,1.1215505016722407,1.339,1.3443034037117738,1.319,1.3257491136118391,13457
2016-08-08,1.109,1.1174161574534602,1.329,1.3415920569825168,1.309,1.3234776994434139,14078
2016-08-09,1.109,1.121021243339254,1.339,1.3448052499101042,1.319,1.3267766233766234,14077
2016-08-10,1.119,1.1222537790078773,1.339,1.3436400028748023,1.319,1.3255558769002596,14093
2016-08-11,1.109,1.1174941637010676,1.329,1.337082162162162,1.309,1.318856856187291,14051
2016-08-12,1.119,1.125802948681599,1.329,1.3411344387022683,1.309,1.3230943815234288,14109
2016-08-13,1.119,1.131610096049686,1.339,1.3444365456272376,1.319,1.326219558027661,13848
2016-08-14,1.129,1.137455026849642,1.339,1.3501157355047877,1.319,1.3315670995670994,13409
2016-08-15,1.119,1.1344231127679403,1.339,1.3465726005517642,1.319,1.3284012881965248,13950
2016-08-16,1.129,1.1373047024611675,1.339,1.3476078558092777,1.319,1.3296583395107486,14101
2016-08-17,1.139,1.1427829947435715,1.349,1.3518982880161128,1.329,1.3339215409738718,14079
2016-08-18,1.139,1.1471929451763705,1.349,1.3562328934155787,1.329,1.33815168123241,14119
2016-08-19,1.149,1.1547430687830689,1.359,1.3610342955130037,1.339,1.343277346923702,14176
2016-08-20,1.159,1.1587698744769874,1.359,1.3643264025680308,1.339,1.3461901043621893,13863
2016-08-21,1.159,1.166345687281387,1.359,1.3711159605688914,1.339,1.3526490970828833,13438
2016-08-22,1.159,1.159493384277931,1.359,1.3646755246758828,1.339,1.3466925750628604,14134
2016-08-23,1.149,1.157482132728304,1.359,1.3641299885156475,1.339,1.3461399244052472,14108
2016-08-24,1.149,1.1576448525241068,1.359,1.3641193279724297,1.339,1.3459683797393365,14105
2016-08-25,1.149,1.1577313379781031,1.359,1.365584365102217,1.339,1.3475772828507793,14068
2016-08-26,1.149,1.158626188111789,1.359,1.366472361809045,1.339,1.348581395348837,14101
2016-08-27,1.149,1.1604580715059587,1.359,1.3688154261923893,1.339,1.3507838081635721,13846
2016-08-28,1.159,1.1679204460966544,1.369,1.3758520634443359,1.349,1.357298659269533,13451
2016-08-29,1.149,1.1601526252391412,1.359,1.3691354898866734,1.339,1.351085071756177,14114
2016-08-30,1.149,1.163507304964539,1.369,1.3744995333476917,1.349,1.3565093990526937,14103
2016-08-31,1.149,1.1593068481733575,1.369,1.3688109571699838,1.349,1.3507750036289736,14402
2016-09-01,1.149,1.1560537122557726,1.359,1.3659834591873428,1.339,1.3477434908389585,14079
2016-09-02,1.139,1.1526670456160295,1.349,1.3621359614416229,1.339,1.3439490242635599,14075
2016-09-03,1.139,1.153455529106254,1.349,1.362121508278025,1.339,1.3438823396906443,13866
2016-09-04,1.149,1.1582399199525646,1.359,1.3660845946350966,1.339,1.3475069177555725,13493
2016-09-05,1.139,1.152385491564035,1.349,1.3597431166210179,1.329,1.3416281994047619,14049
2016-09-06,1.139,1.153392857142857,1.359,1.3610062644009215,1.339,1.3429778422187522,14059
2016-09-07,1.139,1.154339650872818,1.349,1.361080268282129,1.329,1.3430567006473695,14037
