day,diesel_median_last,diesel_mean_last,e5_median_last,e5_mean_last,e10_median_last,e10_mean_last,n_stations_seen
2025-12-31,1.669,1.6790951732191515,1.789,1.8002609384280341,1.729,1.7410214271275521,5139
2026-01-01,1.639,1.6499636350646567,1.749,1.7619245530828165,1.689,1.7036744589397481,14001
2026-01-02,1.649,1.6587948171569975,1.759,1.7765349065880038,1.709,1.7189722951297755,14552
2026-01-03,1.649,1.6646646483137366,1.769,1.7820708225481738,1.709,1.7241026423520656,14206
2026-01-04,1.659,1.6703766056691784,1.769,1.787003004543456,1.719,1.7288244552058112,13938
2026-01-05,1.659,1.6682985240879977,1.769,1.7825051590407741,1.709,1.724743356953056,14367
2026-01-06,1.649,1.665221492157694,1.759,1.7763176207319715,1.709,1.7185034735190856,14157
2026-01-07,1.659,1.668621881533101,1.769,1.7803201367131871,1.709,1.7225842680047225,14354
2026-01-08,1.649,1.6665001749352741,1.769,1.7796851441241683,1.709,1.721887538894651,14294
2026-01-09,1.659,1.6744795725958517,1.779,1.7891245541446712,1.719,1.7314601907296518,14323
2026-01-10,1.669,1.681265477290497,1.779,1.7952764198157685,1.719,1.7373973013493254,14073
2026-01-11,1.669,1.6878811681772405,1.789,1.8010195344055224,1.729,1.7430054553720262,13906
2026-01-12,1.669,1.6765576518445786,1.779,1.7918369993551622,1.719,1.7341035531488762,14261
2026-01-13,1.659,1.6760528196147109,1.779,1.7944268537074148,1.724,1.7368100430203233,14279
2026-01-14,1.669,1.687277366140081,1.789,1.801113056528264,1.729,1.7435383931877084,14309
2026-01-15,1.679,1.688581457325198,1.779,1.7969555714797563,1.729,1.7391639697149643,14262
2026-01-16,1.669,1.6843600896546893,1.779,1.7954165652516285,1.729,1.737615766834767,14280
2026-01-17,1.679,1.6876664775950085,1.779,1.7961052136133238,1.729,1.7382879922144032,14109
2026-01-18,1.679,1.6917924650161464,1.789,1.798827020294527,1.729,1.7408302072303736,13939
2026-01-19,1.679,1.6877203366058906,1.779,1.7916844141884627,1.719,1.733880855170366,14264
