day,diesel_median_last,diesel_mean_last,e5_median_last,e5_mean_last,e10_median_last,e10_mean_last,n_stations_seen
2020-12-31,1.259,1.255804777992278,1.409,1.4003630557602553,1.359,1.3528475996951994,4144
2021-01-01,1.219,1.2303871905808923,1.369,1.3838238308314088,1.329,1.3363913793103448,14099
2021-01-02,1.219,1.2343848746576784,1.379,1.3857215515393957,1.329,1.3380571067874647,14241
2021-01-03,1.229,1.23701386871914,1.379,1.389033823203604,1.329,1.340824427480916,13772
2021-01-04,1.209,1.2211410014665829,1.369,1.3794557924662403,1.329,1.3317206774145836,14324
2021-01-05,1.209,1.2224393886279186,1.369,1.3787252747252745,1.319,1.3307140525300487,14264
2021-01-06,1.219,1.224989519463853,1.379,1.3822522313329946,1.329,1.3340522433002107,14026
2021-01-07,1.219,1.2237353850477797,1.369,1.3792588327850093,1.319,1.3312848655874052,14232
2021-01-08,1.219,1.22518671679198,1.379,1.3850372547630851,1.329,1.3372037091551368,14364
2021-01-09,1.219,1.2303370335887702,1.389,1.3935911574040354,1.339,1.34546812523576,13963
2021-01-10,1.229,1.2336682461000146,1.389,1.3973036548298614,1.339,1.3489807692307694,13719
2021-01-11,1.219,1.22857180869687,1.379,1.3878193929894558,1.329,1.3399955604883464,14281
2021-01-12,1.219,1.2306125414403613,1.379,1.390632708737167,1.339,1.3426155567156386,14177
2021-01-13,1.219,1.2313689039452325,1.389,1.394502909273759,1.339,1.3465207277065314,14169
2021-01-14,1.229,1.2339466294049486,1.389,1.394434308344334,1.339,1.3469910047152702,14672
2021-01-15,1.229,1.2328345207025464,1.389,1.3992312109683438,1.339,1.3511503321639173,14178
2021-01-16,1.239,1.2427510578785053,1.399,1.4079649263526326,1.349,1.3597247318326031,13943
2021-01-17,1.239,1.2466670815639185,1.4015,1.4116937788361363,1.359,1.363246616425715,13658
2021-01-18,1.229,1.2361217514124294,1.389,1.397394725495832,1.339,1.3492790176905278,14161
2021-01-19,1.229,1.2369132094140929,1.394,1.4010644372527867,1.349,1.3529320983043251,14149
2021-01-20,1.219,1.230977442008938,1.389,1.3938815419042805,1.339,1.3457273749718828,14097
2021-01-21,1.219,1.2319263008849557,1.389,1.3978702823393834,1.339,1.3497327399207122,14126
