day,diesel_median_last,diesel_mean_last,e5_median_last,e5_mean_last,e10_median_last,e10_mean_last,n_stations_seen
2021-12-31,1.609,1.608444833625219,1.769,1.7591286641747,1.709,1.7000871568823883,5140
2022-01-01,1.569,1.5755233522479266,1.719,1.7241693948596402,1.659,1.666161302711422,13748
2022-01-02,1.579,1.5791575417365313,1.719,1.7251842613214552,1.659,1.6672990920283164,13718
2022-01-03,1.549,1.5584003594387226,1.689,1.7010906401859285,1.639,1.6432735689617166,14469
2022-01-04,1.549,1.5628241436925647,1.699,1.7057802836879432,1.639,1.6481961711878188,14365
2022-01-05,1.559,1.5686091937962834,1.699,1.7068638303927148,1.639,1.6491636202175683,14315
2022-01-06,1.559,1.5722060878243513,1.699,1.70764711007842,1.639,1.6498149713250831,14029
2022-01-07,1.569,1.575491061452514,1.699,1.7065504587155964,1.639,1.648866360471146,14321
2022-01-08,1.579,1.585505237654101,1.709,1.7153755439512621,1.649,1.6573804004214965,14035
2022-01-09,1.579,1.5908531601226097,1.709,1.7198011587313378,1.659,1.6618511277037948,13704
2022-01-10,1.579,1.5887796243279102,1.699,1.7114798349811509,1.639,1.6539055806714593,14322
2022-01-11,1.579,1.5871215944540726,1.699,1.7125536495835099,1.639,1.654963808545001,14427
2022-01-12,1.579,1.5892274256870442,1.699,1.714403213138165,1.649,1.6566562639322335,14266
2022-01-13,1.579,1.590157569371268,1.709,1.7172724606580831,1.649,1.659528216200119,14236
2022-01-14,1.579,1.5918042949475293,1.709,1.7171861815092737,1.649,1.6595487625220977,14390
2022-01-15,1.589,1.5977612747190213,1.719,1.7249550456059073,1.659,1.6669229497105917,14059
2022-01-16,1.599,1.6028271812080537,1.719,1.7289593139802508,1.659,1.670929912294199,13709
2022-01-17,1.589,1.6006794461452825,1.719,1.7285930702189471,1.659,1.6709477138643067,14373
2022-01-18,1.599,1.6061942833181913,1.719,1.7325073010898213,1.659,1.6748295378681106,14311
2022-01-19,1.599,1.6068172631578947,1.719,1.7343518306636154,1.669,1.6766421875,14251
2022-01-20,1.599,1.6103230274202573,1.729,1.7366943474231948,1.669,1.6790024498886416,14298
2022-01-21,1.599,1.6082375175315569,1.729,1.7344625223294035,1.669,1.6767880839036002,14261
2022-01-22,1.609,1.611420066937264,1.729,1.7381841704718417,1.669,1.6801930946291561,14044
2022-01-23,1.609,1.6156830800701345,1.739,1.7426585347712906,1.679,1.6845981517135158,13689
2022-01-24,1.599,1.6126612082781688,1.729,1.7426203178206583,1.669,1.6849015123570639,14352
2022-01-25,1.599,1.6111241534988712,1.729,1.736572321172077,1.669,1.678711159247087,14177
2022-01-26,1.599,1.6124605152027027,1.729,1.7441443624112967,1.669,1.6866120760342902,14209
2022-01-27,1.604,1.6155680991041435,1.729,1.7434506168437567,1.679,1.685827012987013,14289
2022-01-28,1.609,1.618833986287953,1.739,1.749472206385405,1.679,1.691766055386443,14295
2022-01-29,1.629,1.6366454526061296,1.759,1.7627272332416388,1.699,1.704727259058788,14064
2022-01-30,1.639,1.6431999851477797,1.759,1.7684716781365801,1.709,1.7104298809150735,13467
2022-01-31,1.629,1.6371712842909787,1.759,1.7643046412914898,1.699,1.7067254205336426,14655
2022-02-01,1.629,1.6396003556187766,1.759,1.7689209457499275,1.699,1.7112291194683584,14061
2022-02-02,1.629,1.635615222728867,1.769,1.7736148296306877,1.709,1.715966334720571,14258
2022-02-03,1.629,1.6348509386382741,1.759,1.7702316037399186,1.709,1.712552930688656,14277
2022-02-04,1.629,1.6400114918365916,1.769,1.7720247697908487,1.709,1.7143566438763378,14272
2022-02-05,1.649,1.6560039143121486,1.779,1.7829573126540077,1.719,1.7250168636603178,14052
2022-02-06,1.659,1.6629410132866111,1.779,1.789029796403626,1.729,1.7310451538461538,13699
2022-02-07,1.649,1.6553796966323409,1.779,1.7823518097941802,1.719,1.7247154585798818,14373
2022-02-08,1.639,1.652467896269588,1.779,1.7848821368004522,1.719,1.7271941133186166,14423
2022-02-09,1.639,1.643642822042822,1.769,1.778002717002717,1.719,1.7201488617765215,14246
