station_type,year,price_update_count,diesel_mean,e5_mean,e10_mean
brand_station,2014,11291243,1.3344717740817416,1.5229184943164915,1.4829054487674325
brand_station,2015,25007229,1.1687421859988498,1.3910500560457648,1.3708567839253931
brand_station,2016,31614949,1.0855177857024902,1.3059925867814308,1.2856440817927344
brand_station,2017,42326772,1.1629258629524701,1.369338720061785,1.3462865930557326
brand_station,2018,47799754,1.28805386609042,1.4548756981600648,1.4317017423054772
brand_station,2019,60188932,1.266295630599143,1.4344648451156052,1.4110185637973198
brand_station,2020,71826032,1.1115415500073729,1.2900646306881145,1.2546804185847087
brand_station,2021,79781178,1.3932004491625398,1.5863064095424448,1.527859361330579
brand_station,2022,85468422,1.9518732800383063,1.916930912752956,1.8580367292724889
brand_station,2023,86211689,1.7230380840121815,1.846506795602055,1.7873036942533265
brand_station,2024,99680302,1.6414466450515912,1.7882906183192588,1.7290316859803119
brand_station,2025,109400390,1.6048505041469392,1.7366015680734332,1.6778884471213853
brand_station,2026,18629531,1.7086166446042315,1.8034677164323343,1.7445218765367945
free_station,2014,4056167,1.3165238258938732,1.5078036110921638,1.4666758812298528
free_station,2015,9260013,1.1517403832558069,1.374399222040824,1.355182515877629
free_station,2016,11577404,1.0671848741260916,1.2894315646626817,1.269187103073094
free_station,2017,15155243,1.1441855398476166,1.3526510202715043,1.3310278441370396
free_station,2018,16813256,1.2691917942807092,1.437773082634916,1.4159629134375884
free_station,2019,19796053,1.2478311456028164,1.415529267451438,1.3934071284804204
free_station,2020,24197264,1.0959646187915075,1.2748097952445818,1.2406955286850223
free_station,2021,27134531,1.375683476536833,1.569011699766375,1.512541433641305
free_station,2022,29425513,1.9370812974695129,1.9033291051807637,1.8457729500469084
free_station,2023,29745223,1.7038923413364824,1.8299851019595343,1.771900102791156
free_station,2024,33490424,1.6240413645282472,1.7726217222311034,1.7141544969495146
free_station,2025,38755261,1.5882389631204594,1.7216073404940875,1.6636873298444275
free_station,2026,6682165,1.6938975056021386,1.7909673674845261,1.7334052630649577
