brand_normalized,year,price_update_count,diesel_mean,e5_mean,e10_mean
AGIP,2014,330558,1.3262670266836087,1.5161143300569064,1.4761286549707602
AGIP,2015,668361,1.1621708618803874,1.3782997296282276,1.358235561946201
AGIP,2016,1248775,1.0848260454195653,1.2995663583583585,1.2795745584566904
AGIP,2017,1691699,1.1682126664708044,1.3660819087489646,1.3459588239122076
AGIP,2018,2072210,1.3031540949066298,1.4619033482113775,1.4417113883959993
AGIP,2019,2592670,1.2744176821624758,1.4366058847715357,1.4162141735333216
AGIP,2020,3003938,1.1154336984213697,1.289053291414997,1.2535020252544615
AGIP,2021,3227682,1.3971647948395014,1.5850358666508864,1.526076623075903
AGIP,2022,3572825,1.9673815034208348,1.9208961321869003,1.8609424801098302
AGIP,2023,3487544,1.7344807586436284,1.8525169187926624,1.7924784119069588
AGIP,2024,4364580,1.6447966575462736,1.7883133643160918,1.7281343714158934
AGIP,2025,4936339,1.6175303028400014,1.7443805717439007,1.684390658748341
AGIP,2026,846148,1.7140147230387897,1.8019879642804804,1.7419461327632646
ARAL,2014,2281878,1.3446788327438322,1.532199238254559,1.4922181738128035
ARAL,2015,5238928,1.18331932267779,1.4062659063010088,1.3862867473497473
ARAL,2016,7226186,1.1073509732702695,1.327113913648996,1.3070965266944965
ARAL,2017,10449570,1.1825681227128142,1.3900259814401703,1.3700646061899695
ARAL,2018,11528492,1.3033019291211076,1.470764639748286,1.450775273181425
ARAL,2019,15233360,1.2789335438217568,1.4479982274279957,1.4279794829425758
ARAL,2020,17491306,1.124745439660937,1.302722905966525,1.267128363196914
ARAL,2021,18526307,1.4052251973928032,1.5988422658971697,1.5396786496644927
ARAL,2022,19279700,1.9594611615836972,1.9255600997894022,1.8656061035822433
ARAL,2023,18964719,1.7313175704212003,1.8565691922122955,1.7965949040144278
ARAL,2024,22162734,1.6532849679714308,1.8010662767814805,1.7411072192341581
ARAL,2025,23848225,1.621236008846177,1.755713193886081,1.695771469895116
ARAL,2026,4197118,1.7203279778631029,1.8194782849611768,1.7595656069422303
AVIA,2014,852445,1.3373664990198113,1.5261676534301265,1.485977435405347
AVIA,2015,1930689,1.1716922300439545,1.3925678818493454,1.373239916194089
AVIA,2016,2430286,1.0847104506836465,1.3040900396760144,1.284768522226329
AVIA,2017,3037635,1.1636819729986305,1.36703643449414,1.3475391989436019
AVIA,2018,3370827,1.2951100298579061,1.457185509278328,1.4375587705524453
AVIA,2019,4025627,1.2670547907369885,1.429223845244898,1.4097835289140435
AVIA,2020,4883925,1.1102933993502144,1.2850745888359507,1.2514009912347288
AVIA,2021,5063823,1.3882790995063639,1.5795301437552627,1.522036573249375
